material_id,material_sku,material_nm,material_type_cd,base_uom_cd,prod_family_cd,std_cost_amt,is_active_fg,planner_cd,safety_stock_qty,lead_time_day,default_supplier_id,pack_spec,voltage_level,color_cd
MAT_FG_1001,FG-A100,智能控制器A100,FG,EA,CTRL,320.0,1,P01,180,12,SUP_001,1台/箱,220V,RED
MAT_FG_1002,FG-A200,智能控制器A200,FG,EA,CTRL,360.0,1,P01,160,14,SUP_001,1台/箱,220V,BLUE
MAT_FG_1003,FG-B100,工业网关B100,FG,EA,GATE,420.0,1,P02,140,15,SUP_005,1台/箱,24V,BLACK
MAT_FG_1004,FG-C100,传感模组C100,FG,EA,SENSOR,180.0,1,P03,200,10,SUP_005,10件/箱,24V,WHITE
MAT_FG_1005,FG-D100,边缘终端D100,FG,EA,EDGE,510.0,1,P03,120,18,SUP_003,1台/箱,220V,GRAY
MAT_FG_1006,FG-E100,采集终端E100,FG,EA,EDGE,290.0,1,P02,150,11,SUP_003,1台/箱,24V,RED
MAT_RM_2001,RM-PCBA01,控制板组件,RM,EA,PCB,120.0,0,P01,500,7,SUP_001,20片/盘,220V,GREEN
MAT_RM_2002,RM-CASE01,控制器外壳,RM,EA,CASE,35.0,0,P01,800,9,SUP_002,10个/箱,,GRAY
MAT_RM_2003,RM-HARN01,线束组件,RM,EA,HARNESS,28.0,0,P02,700,8,SUP_003,20条/箱,24V,BLACK
MAT_RM_2004,RM-SENS01,传感器芯体,RM,EA,SENSOR,45.0,0,P03,650,13,SUP_005,50个/箱,24V,BLACK
MAT_RM_2005,RM-PACK01,包装箱,RM,EA,PACK,6.0,0,P03,1000,5,SUP_004,20个/捆,,BROWN
MAT_RM_2006,RM-CHIP01,主控芯片,RM,EA,IC,75.0,0,P02,400,16,SUP_001,100颗/盘,3.3V,BLACK
MAT_RM_2007,RM-POW01,电源模块,RM,EA,POWER,52.0,0,P02,450,12,SUP_003,20个/箱,220V,BLACK
MAT_RM_2008,RM-TERM01,接线端子,RM,EA,TERM,4.0,0,P02,1200,4,SUP_006,100个/袋,24V,WHITE
MAT_RM_2009,RM-FAN01,散热风扇,RM,EA,THERM,18.0,0,P03,300,9,SUP_006,10个/箱,24V,BLACK
MAT_RM_2010,RM-MCU02,高阶处理器,RM,EA,IC,110.0,0,P01,350,19,SUP_001,100颗/盘,3.3V,BLACK
